"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 15:21:06 GMT 2024","Tue Oct 22 15:21:11 GMT 2024","4967","chromium","generalInfoTab.spec.ts","General info tab","","","Verify technical characteristics section",""
"passed","Tue Oct 22 15:22:46 GMT 2024","Tue Oct 22 15:22:54 GMT 2024","8167","chromium","priceTab.spec.ts","Price tab","","","Verify ""Назад"" button",""
"passed","Tue Oct 22 15:21:18 GMT 2024","Tue Oct 22 15:21:23 GMT 2024","4719","chromium","login.spec.ts","Authorization form","","","Authorization with valid email and password",""
"passed","Tue Oct 22 15:22:35 GMT 2024","Tue Oct 22 15:22:45 GMT 2024","9763","chromium","priceTab.spec.ts","Price tab","","","Verify ""Спосіб оплати"" section",""
"passed","Tue Oct 22 15:23:47 GMT 2024","Tue Oct 22 15:23:54 GMT 2024","7142","chromium","serviceTab.spec.ts","Service tab","","","Verify entering special characters in the ""Послуги"" input",""
"passed","Tue Oct 22 15:22:12 GMT 2024","Tue Oct 22 15:22:19 GMT 2024","7554","chromium","photoTab.spec.ts","Photo tab","","","Verify image uploading",""
"passed","Tue Oct 22 15:21:26 GMT 2024","Tue Oct 22 15:21:31 GMT 2024","4610","chromium","login.spec.ts","Authorization form","","","Authorization with invalid password",""
"passed","Tue Oct 22 15:21:35 GMT 2024","Tue Oct 22 15:21:43 GMT 2024","7826","chromium","main.page.spec.ts","Main page","","","Verify ""У Вас залишилися питання?"" form",""
"passed","Tue Oct 22 15:21:26 GMT 2024","Tue Oct 22 15:22:48 GMT 2024","81625","chromium","main.page.spec.ts","Main page","","","Checking ""Послуги"" section on the main page",""
"passed","Tue Oct 22 15:21:43 GMT 2024","Tue Oct 22 15:21:49 GMT 2024","6405","chromium","photoTab.spec.ts","Photo tab","","","Verify uploading of invalid file type",""
"passed","Tue Oct 22 15:21:06 GMT 2024","Tue Oct 22 15:21:11 GMT 2024","4519","chromium","generalInfoTab.spec.ts","General info tab","","","Verify description section",""
"passed","Tue Oct 22 15:20:58 GMT 2024","Tue Oct 22 15:21:05 GMT 2024","7026","chromium","generalInfoTab.spec.ts","General info tab","","","Verify body title and tab titles",""
"passed","Tue Oct 22 15:22:53 GMT 2024","Tue Oct 22 15:23:06 GMT 2024","12808","chromium","priceTab.spec.ts","Price tab","","","Verify adding price for service",""
"passed","Tue Oct 22 15:23:07 GMT 2024","Tue Oct 22 15:23:16 GMT 2024","9638","chromium","priceTab.spec.ts","Price tab","","","Verify UI of the ""Вартість Ваших послуг *"" section",""
"passed","Tue Oct 22 15:21:54 GMT 2024","Tue Oct 22 15:22:02 GMT 2024","7549","chromium","photoTab.spec.ts","Photo tab","","","Verify same images uploading",""
"passed","Tue Oct 22 15:20:58 GMT 2024","Tue Oct 22 15:21:35 GMT 2024","36482","chromium","generalInfoTab.spec.ts","General info tab","","","Verify category section",""
"passed","Tue Oct 22 15:23:51 GMT 2024","Tue Oct 22 15:23:58 GMT 2024","7339","chromium","serviceTab.spec.ts","Service tab","","","Verify ""Послуги"" input choosing of existing service",""
"passed","Tue Oct 22 15:21:06 GMT 2024","Tue Oct 22 15:21:11 GMT 2024","5822","chromium","generalInfoTab.spec.ts","General info tab","","","Verify model name input field",""
"passed","Tue Oct 22 15:21:31 GMT 2024","Tue Oct 22 15:21:38 GMT 2024","6709","chromium","main.page.spec.ts","Main page","","","Verify that all elements on the footer are displayed and all links are clickable",""
"passed","Tue Oct 22 15:23:44 GMT 2024","Tue Oct 22 15:23:51 GMT 2024","7056","chromium","serviceTab.spec.ts","Service tab","","","Verify the search function is not sensetive to upper or lower case",""
